"id","code","name","hs_level","created_at","updated_at"
1,"70","H6",2,"2025-03-18 03:30:52.584847","2025-03-18 03:30:52.584847"
2,"40","H6",2,"2025-03-18 03:30:52.584847","2025-03-18 03:30:52.584847"
3,"35","H6",2,"2025-03-18 03:30:52.584847","2025-03-18 03:30:52.584847"
4,"26","H6",2,"2025-03-18 03:30:52.584847","2025-03-18 03:30:52.584847"
5,"63","H6",2,"2025-03-18 03:30:52.584847","2025-03-18 03:30:52.584847"
6,"75","H6",2,"2025-03-18 03:30:52.584847","2025-03-18 03:30:52.584847"
7,"80","H6",2,"2025-03-18 03:30:52.584847","2025-03-18 03:30:52.584847"
8,"42","H6",2,"2025-03-18 03:30:52.584847","2025-03-18 03:30:52.584847"
9,"58","H6",2,"2025-03-18 03:30:52.584847","2025-03-18 03:30:52.584847"
10,"55","H6",2,"2025-03-18 03:30:52.584847","2025-03-18 03:30:52.584847"
11,"45","H6",2,"2025-03-18 03:30:52.584847","2025-03-18 03:30:52.584847"
12,"06","H6",2,"2025-03-18 03:30:52.584847","2025-03-18 03:30:52.584847"
13,"10","H6",2,"2025-03-18 03:30:52.584847","2025-03-18 03:30:52.584847"
14,"59","H6",2,"2025-03-18 03:30:52.585847","2025-03-18 03:30:52.585847"
15,"37","H6",2,"2025-03-18 03:30:52.585847","2025-03-18 03:30:52.585847"
16,"96","H6",2,"2025-03-18 03:30:52.585847","2025-03-18 03:30:52.585847"
17,"60","H6",2,"2025-03-18 03:30:52.585847","2025-03-18 03:30:52.585847"
18,"20","H6",2,"2025-03-18 03:30:52.585847","2025-03-18 03:30:52.585847"
19,"14","H6",2,"2025-03-18 03:30:52.585847","2025-03-18 03:30:52.585847"
20,"18","H6",2,"2025-03-18 03:30:52.585847","2025-03-18 03:30:52.585847"
21,"71","H6",2,"2025-03-18 03:30:52.585847","2025-03-18 03:30:52.585847"
22,"65","H6",2,"2025-03-18 03:30:52.585847","2025-03-18 03:30:52.585847"
23,"64","H6",2,"2025-03-18 03:30:52.585847","2025-03-18 03:30:52.585847"
24,"90","H6",2,"2025-03-18 03:30:52.585847","2025-03-18 03:30:52.585847"
25,"82","H6",2,"2025-03-18 03:30:52.585847","2025-03-18 03:30:52.585847"
26,"34","H6",2,"2025-03-18 03:30:52.585847","2025-03-18 03:30:52.585847"
27,"85","H6",2,"2025-03-18 03:30:52.585847","2025-03-18 03:30:52.585847"
28,"92","H6",2,"2025-03-18 03:30:52.585847","2025-03-18 03:30:52.585847"
29,"38","H6",2,"2025-03-18 03:30:52.585847","2025-03-18 03:30:52.585847"
30,"87","H6",2,"2025-03-18 03:30:52.585847","2025-03-18 03:30:52.585847"
31,"84","H6",2,"2025-03-18 03:30:52.585847","2025-03-18 03:30:52.585847"
32,"49","H6",2,"2025-03-18 03:30:52.585847","2025-03-18 03:30:52.585847"
33,"91","H6",2,"2025-03-18 03:30:52.585847","2025-03-18 03:30:52.585847"
34,"15","H6",2,"2025-03-18 03:30:52.585847","2025-03-18 03:30:52.585847"
35,"76","H6",2,"2025-03-18 03:30:52.585847","2025-03-18 03:30:52.585847"
36,"29","H6",2,"2025-03-18 03:30:52.585847","2025-03-18 03:30:52.585847"
37,"61","H6",2,"2025-03-18 03:30:52.585847","2025-03-18 03:30:52.585847"
38,"12","H6",2,"2025-03-18 03:30:52.585847","2025-03-18 03:30:52.585847"
39,"07","H6",2,"2025-03-18 03:30:52.585847","2025-03-18 03:30:52.585847"
40,"94","H6",2,"2025-03-18 03:30:52.585847","2025-03-18 03:30:52.585847"
41,"39","H6",2,"2025-03-18 03:30:52.585847","2025-03-18 03:30:52.585847"
42,"78","H6",2,"2025-03-18 03:30:52.585847","2025-03-18 03:30:52.585847"
43,"23","H6",2,"2025-03-18 03:30:52.585847","2025-03-18 03:30:52.585847"
44,"50","H6",2,"2025-03-18 03:30:52.585847","2025-03-18 03:30:52.585847"
45,"73","H6",2,"2025-03-18 03:30:52.585847","2025-03-18 03:30:52.585847"
46,"21","H6",2,"2025-03-18 03:30:52.585847","2025-03-18 03:30:52.585847"
47,"03","H6",2,"2025-03-18 03:30:52.585847","2025-03-18 03:30:52.585847"
48,"31","H6",2,"2025-03-18 03:30:52.585847","2025-03-18 03:30:52.585847"
49,"69","H6",2,"2025-03-18 03:30:52.585847","2025-03-18 03:30:52.585847"
50,"30","H6",2,"2025-03-18 03:30:52.585847","2025-03-18 03:30:52.585847"
51,"11","H6",2,"2025-03-18 03:30:52.585847","2025-03-18 03:30:52.585847"
52,"88","H6",2,"2025-03-18 03:30:52.585847","2025-03-18 03:30:52.585847"
53,"79","H6",2,"2025-03-18 03:30:52.585847","2025-03-18 03:30:52.585847"
54,"04","H6",2,"2025-03-18 03:30:52.585847","2025-03-18 03:30:52.585847"
55,"08","H6",2,"2025-03-18 03:30:52.585847","2025-03-18 03:30:52.585847"
56,"54","H6",2,"2025-03-18 03:30:52.585847","2025-03-18 03:30:52.585847"
57,"62","H6",2,"2025-03-18 03:30:52.585847","2025-03-18 03:30:52.585847"
58,"47","H6",2,"2025-03-18 03:30:52.585847","2025-03-18 03:30:52.585847"
59,"44","H6",2,"2025-03-18 03:30:52.585847","2025-03-18 03:30:52.585847"
60,"32","H6",2,"2025-03-18 03:30:52.585847","2025-03-18 03:30:52.585847"
61,"09","H6",2,"2025-03-18 03:30:52.585847","2025-03-18 03:30:52.585847"
62,"81","H6",2,"2025-03-18 03:30:52.585847","2025-03-18 03:30:52.585847"
63,"25","H6",2,"2025-03-18 03:30:52.585847","2025-03-18 03:30:52.585847"
64,"93","H6",2,"2025-03-18 03:30:52.585847","2025-03-18 03:30:52.585847"
65,"48","H6",2,"2025-03-18 03:30:52.585847","2025-03-18 03:30:52.585847"
66,"72","H6",2,"2025-03-18 03:30:52.585847","2025-03-18 03:30:52.585847"
67,"83","H6",2,"2025-03-18 03:30:52.585847","2025-03-18 03:30:52.585847"
68,"51","H6",2,"2025-03-18 03:30:52.585847","2025-03-18 03:30:52.585847"
69,"56","H6",2,"2025-03-18 03:30:52.585847","2025-03-18 03:30:52.585847"
70,"97","H6",2,"2025-03-18 03:30:52.585847","2025-03-18 03:30:52.585847"
71,"43","H6",2,"2025-03-18 03:30:52.585847","2025-03-18 03:30:52.585847"
72,"95","H6",2,"2025-03-18 03:30:52.585847","2025-03-18 03:30:52.585847"
73,"57","H6",2,"2025-03-18 03:30:52.585847","2025-03-18 03:30:52.585847"
74,"19","H6",2,"2025-03-18 03:30:52.585847","2025-03-18 03:30:52.585847"
75,"46","H6",2,"2025-03-18 03:30:52.585847","2025-03-18 03:30:52.585847"
76,"02","H6",2,"2025-03-18 03:30:52.585847","2025-03-18 03:30:52.585847"
77,"01","H6",2,"2025-03-18 03:30:52.585847","2025-03-18 03:30:52.585847"
78,"53","H6",2,"2025-03-18 03:30:52.585847","2025-03-18 03:30:52.585847"
79,"27","H6",2,"2025-03-18 03:30:52.585847","2025-03-18 03:30:52.585847"
80,"68","H6",2,"2025-03-18 03:30:52.585847","2025-03-18 03:30:52.585847"
81,"22","H6",2,"2025-03-18 03:30:52.585847","2025-03-18 03:30:52.585847"
82,"16","H6",2,"2025-03-18 03:30:52.585847","2025-03-18 03:30:52.585847"
83,"67","H6",2,"2025-03-18 03:30:52.585847","2025-03-18 03:30:52.585847"
84,"74","H6",2,"2025-03-18 03:30:52.585847","2025-03-18 03:30:52.585847"
85,"89","H6",2,"2025-03-18 03:30:52.585847","2025-03-18 03:30:52.585847"
86,"99","H6",2,"2025-03-18 03:30:52.585847","2025-03-18 03:30:52.585847"
87,"28","H6",2,"2025-03-18 03:30:52.585847","2025-03-18 03:30:52.585847"
88,"13","H6",2,"2025-03-18 03:30:52.586846","2025-03-18 03:30:52.586846"
89,"86","H6",2,"2025-03-18 03:30:52.586846","2025-03-18 03:30:52.586846"
90,"24","H6",2,"2025-03-18 03:30:52.586846","2025-03-18 03:30:52.586846"
91,"17","H6",2,"2025-03-18 03:30:52.586846","2025-03-18 03:30:52.586846"
92,"52","H6",2,"2025-03-18 03:30:52.586846","2025-03-18 03:30:52.586846"
93,"66","H6",2,"2025-03-18 03:30:52.586846","2025-03-18 03:30:52.586846"
94,"36","H6",2,"2025-03-18 03:30:52.586846","2025-03-18 03:30:52.586846"
95,"41","H6",2,"2025-03-18 03:30:52.586846","2025-03-18 03:30:52.586846"
96,"05","H6",2,"2025-03-18 03:30:52.586846","2025-03-18 03:30:52.586846"
97,"33","H6",2,"2025-03-18 03:30:52.586846","2025-03-18 03:30:52.586846"
98,"8532","H6",4,"2025-03-18 03:30:53.267306","2025-03-18 03:30:53.267306"
99,"5209","H6",4,"2025-03-18 03:30:53.267306","2025-03-18 03:30:53.267306"
100,"7228","H6",4,"2025-03-18 03:30:53.267306","2025-03-18 03:30:53.267306"
101,"7503","H6",4,"2025-03-18 03:30:53.267306","2025-03-18 03:30:53.267306"
102,"1511","H6",4,"2025-03-18 03:30:53.267306","2025-03-18 03:30:53.267306"
103,"7020","H6",4,"2025-03-18 03:30:53.267306","2025-03-18 03:30:53.267306"
104,"6216","H6",4,"2025-03-18 03:30:53.267306","2025-03-18 03:30:53.267306"
105,"8548","H6",4,"2025-03-18 03:30:53.267306","2025-03-18 03:30:53.267306"
106,"1506","H6",4,"2025-03-18 03:30:53.267306","2025-03-18 03:30:53.267306"
107,"5508","H6",4,"2025-03-18 03:30:53.267306","2025-03-18 03:30:53.267306"
108,"8456","H6",4,"2025-03-18 03:30:53.267306","2025-03-18 03:30:53.267306"
109,"4905","H6",4,"2025-03-18 03:30:53.267306","2025-03-18 03:30:53.267306"
110,"2307","H6",4,"2025-03-18 03:30:53.267306","2025-03-18 03:30:53.267306"
111,"9018","H6",4,"2025-03-18 03:30:53.267306","2025-03-18 03:30:53.267306"
112,"7226","H6",4,"2025-03-18 03:30:53.267306","2025-03-18 03:30:53.267306"
113,"2209","H6",4,"2025-03-18 03:30:53.267306","2025-03-18 03:30:53.267306"
114,"2807","H6",4,"2025-03-18 03:30:53.267306","2025-03-18 03:30:53.267306"
115,"1404","H6",4,"2025-03-18 03:30:53.267306","2025-03-18 03:30:53.267306"
116,"8444","H6",4,"2025-03-18 03:30:53.267306","2025-03-18 03:30:53.267306"
117,"2516","H6",4,"2025-03-18 03:30:53.267306","2025-03-18 03:30:53.267306"
118,"8602","H6",4,"2025-03-18 03:30:53.267306","2025-03-18 03:30:53.267306"
119,"9506","H6",4,"2025-03-18 03:30:53.267306","2025-03-18 03:30:53.267306"
120,"8486","H6",4,"2025-03-18 03:30:53.267306","2025-03-18 03:30:53.267306"
121,"5807","H6",4,"2025-03-18 03:30:53.267306","2025-03-18 03:30:53.267306"
122,"8001","H6",4,"2025-03-18 03:30:53.267306","2025-03-18 03:30:53.267306"
123,"2309","H6",4,"2025-03-18 03:30:53.267306","2025-03-18 03:30:53.267306"
124,"2507","H6",4,"2025-03-18 03:30:53.267306","2025-03-18 03:30:53.267306"
125,"7206","H6",4,"2025-03-18 03:30:53.267306","2025-03-18 03:30:53.267306"
126,"7009","H6",4,"2025-03-18 03:30:53.267306","2025-03-18 03:30:53.267306"
127,"8101","H6",4,"2025-03-18 03:30:53.267306","2025-03-18 03:30:53.267306"
128,"6102","H6",4,"2025-03-18 03:30:53.267306","2025-03-18 03:30:53.267306"
129,"8531","H6",4,"2025-03-18 03:30:53.267306","2025-03-18 03:30:53.267306"
130,"1507","H6",4,"2025-03-18 03:30:53.267306","2025-03-18 03:30:53.267306"
131,"2515","H6",4,"2025-03-18 03:30:53.268302","2025-03-18 03:30:53.268302"
132,"8501","H6",4,"2025-03-18 03:30:53.268302","2025-03-18 03:30:53.268302"
133,"7214","H6",4,"2025-03-18 03:30:53.268302","2025-03-18 03:30:53.268302"
